1.0,6.44329,22.26184,17.45534,4.23261,7.51449,16.49044,27.87412,45.4898,20.61859,22.83587,11.4783,29.89826,22.98616,42.65101,17.87231,15.54552,3.52194,20.92478,8.26079,24.48449
1.0,3.16844,23.16849,17.73051,3.76329,22.77059,21.73692,26.29248,43.62922,19.77432,24.66096,12.31126,30.91427,21.57763,40.11902,19.60874,16.49953,11.06666,28.23507,6.53364,21.39237
1.0,2.19332,18.51262,18.7472,3.42624,27.9938,24.45138,25.26427,43.44225,24.42639,29.69555,26.52352,28.65115,18.24994,36.33566,17.37018,15.88021,13.15991,28.33189,7.09825,20.66897
1.0,5.52754,13.69067,23.12368,6.43695,33.89217,24.02125,28.1137,39.56336,33.90743,31.74039,39.1479,22.74963,15.08688,31.83577,15.44815,19.28799,9.52055,26.347,6.71798,19.65481
1.0,15.08865,11.41978,29.6838,11.69189,46.62595,24.0907,34.48422,36.90877,47.287,29.94515,55.98554,18.31431,14.72484,33.44423,23.58306,16.64063,4.39724,29.25174,7.9697,16.61236
2.0,6.44329,22.26184,17.45534,4.23261,7.51449,16.49044,27.87412,45.4898,20.61859,22.83587,11.4783,29.89826,22.98616,42.65101,17.87231,15.54552,3.52194,20.92478,8.26079,24.48449
2.0,3.16844,23.16849,17.73051,3.76329,22.77059,21.73692,26.29248,43.62922,19.77432,24.66096,12.31126,30.91427,21.57763,40.11902,19.60874,16.49953,11.06666,28.23507,6.53364,21.39237
2.0,2.19332,18.51262,18.7472,3.42624,27.9938,24.45138,25.26427,43.44225,24.42639,29.69555,26.52352,28.65115,18.24994,36.33566,17.37018,15.88021,13.15991,28.33189,7.09825,20.66897
2.0,5.52754,13.69067,23.12368,6.43695,33.89217,24.02125,28.1137,39.56336,33.90743,31.74039,39.1479,22.74963,15.08688,31.83577,15.44815,19.28799,9.52055,26.347,6.71798,19.65481
2.0,15.08865,11.41978,29.6838,11.69189,46.62595,24.0907,34.48422,36.90877,47.287,29.94515,55.98554,18.31431,14.72484,33.44423,23.58306,16.64063,4.39724,29.25174,7.9697,16.61236
2.0,29.95973,9.76197,44.9661,12.43061,65.83986,23.82998,45.38702,35.81368,58.95267,28.29514,73.69037,21.39179,25.17398,36.09761,40.72109,9.21782,6.73016,29.73032,19.96766,9.69055
